water_year,apr1_swe_inches
1985,35.10666666666666
1986,29.266666666666662
1987,23.9875
1988,26.54375
1989,35.96875
1990,29.806250000000002
1991,28.481250000000003
1992,18.03125
1993,26.9375
1994,22.5125
1995,31.53125
1996,30.59375
1997,49.01875
1998,26.1375
1999,41.88125
2000,31.78125
2001,17.0125
2002,36.09375
2003,26.40625
2004,26.325000000000003
2005,14.96875
2006,36.3375
2007,23.025
2008,37.7375
2009,29.53125
2010,19.8625
2011,32.706250000000004
2012,33.181250000000006
2013,25.1875
2014,30.325
2015,13.8875
2016,28.7
2017,34.03125
2018,29.0625
2019,25.231250000000003
2020,27.731250000000003
2021,29.0625
2022,22.9125
2023,29.96875
2024,22.518749999999997
2025,28.387500000000003
