water_year,apr_sep_volume_kcfs_days
1929,33834.7
1930,35026.4
1931,31629.3
1932,51559.3
1933,55285.3
1934,46014.5
1935,43902.4
1936,44139.5
1937,35670.1
1938,50232.3
1939,39396.4
1940,37810.2
1941,33592.4
1942,43993.3
1943,56091.0
1944,29990.9
1945,39674.7
1946,52987.0
1947,49241.9
1948,63999.6
1949,47146.4
1950,59370.7
1951,56663.6
1952,53813.1
1953,49995.7
1954,59506.3
1955,49349.8
1956,65820.7
1957,52401.4
1958,49255.4
1959,57037.6
1960,47982.0
1961,50459.9
1962,46900.9
1963,43152.6
1964,53862.5
1965,57383.0
1966,43247.4
1967,54059.7
1968,43994.1
1969,56028.2
1970,43386.8
1971,63317.9
1972,67656.1
1973,31795.8
1974,69816.5
1975,53683.6
1976,61300.8
1977,26259.8
1978,49454.1
1979,37947.6
1980,45601.2
1981,47593.0
1982,60927.9
1983,52880.3
1984,54608.8
1985,42667.7
1986,46476.8
1987,34901.9
1988,35848.3
1989,43915.4
1990,49042.6
1991,52703.8
1992,31668.2
1993,43192.9
1994,34993.3
1995,45663.3
1996,58356.8
1997,70807.2
1998,47808.0
1999,58713.6
2000,45545.7
2001,28261.9
2002,49864.3
2003,39335.3
2004,40110.9
2005,35807.2
2006,50763.4
2007,41137.4
2008,49072.1
2009,42602.8
2010,40988.0
2011,65984.6
2012,61431.0
2013,45780.8
2014,48726.0
2015,31185.1
2016,41470.7
2017,57104.3
2018,52976.8
