water_year,target_volume,apr1_swe_inches,apr1_swe_anomaly_pct,djf_pdo,djf_nino34,djf_pna,jan_mar_mean_q_cfs,oct_mar_volume_kcfs_days
1985,42667.7,35.10666666666666,22.322880371660847,1.01,-1.0733333333333333,-0.4833333333333333,86837.0,16043.572
1986,46476.8,29.266666666666666,1.97444831591173,1.0366666666666668,-0.5933333333333333,0.6966666666666667,176452.0,24297.006
1987,34901.9,23.9875,-16.419860627177695,1.8,1.13,0.7533333333333333,99931.66666666669,16958.545
1988,35848.3,26.54375,-7.513066202090593,1.1466666666666667,0.7066666666666667,0.6333333333333334,67401.66666666667,11216.635
1989,43915.4,35.96875,25.32665505226481,-0.7999999999999999,-1.8,-0.9833333333333334,92799.0,15494.965
1990,49042.6,29.80625,3.854529616724736,-0.3866666666666666,0.0299999999999999,-1.1,100110.66666666669,18030.866
1991,52703.8,28.481250000000003,-0.7621951219512072,-1.8133333333333332,0.3866666666666666,-0.0966666666666667,122616.33333333331,21531.082
1992,31668.2,18.03125,-37.17334494773519,0.15,1.7700000000000002,0.4166666666666667,97931.0,15637.07
1993,43192.9,26.9375,-6.141114982578395,0.2566666666666666,0.1333333333333333,-0.8566666666666666,86167.66666666667,13961.555
1994,34993.3,22.5125,-21.55923344947735,0.9566666666666668,0.1066666666666666,-0.55,76029.0,12789.656
1995,45663.3,31.53125,9.864982578397214,-0.6066666666666667,1.0,0.4233333333333333,148301.33333333334,18881.464
1996,58356.8,30.59375,6.598432055749131,0.5,-0.89,-0.2533333333333333,208399.33333333337,34134.162
1997,70807.2,49.01875,70.79703832752612,0.16,-0.5133333333333333,-0.3066666666666667,189462.66666666663,25801.798
1998,47808.0,26.1375,-8.928571428571429,1.02,2.233333333333333,0.68,123481.66666666669,21971.5
1999,58713.6,41.88125,45.92770034843207,-0.4733333333333333,-1.5666666666666669,-0.43,150123.33333333334,21271.746
2000,45545.7,31.78125,10.736062717770038,-1.4866666666666666,-1.6866666666666668,-0.1966666666666666,122360.0,21728.826999999997
2001,28261.9,17.0125,-40.72299651567944,0.47,-0.7600000000000001,0.5666666666666667,65951.33333333333,12329.874
2002,49864.3,36.09375,25.76219512195122,-0.4333333333333333,-0.1999999999999999,-0.1833333333333333,94063.66666666669,14921.802
2003,39335.3,26.40625,-7.992160278745643,1.98,0.8700000000000001,0.99,112862.0,15584.129
2004,40110.9,26.325000000000003,-8.2752613240418,0.4133333333333333,0.31,0.52,93538.0,16113.708
2005,35807.2,14.96875,-47.84407665505226,0.36,0.5866666666666667,-0.2566666666666666,106926.33333333331,18744.366
2006,50763.4,36.3375,26.61149825783972,0.63,-0.8333333333333334,0.1766666666666666,128000.66666666669,19968.132
2007,41137.4,23.025,-19.77351916376307,0.0633333333333333,0.6566666666666666,0.4666666666666667,130099.33333333331,20384.403
2008,49072.1,37.7375,31.48954703832752,-0.7833333333333333,-1.643333333333333,-0.2833333333333333,81219.0,14715.803
2009,42602.8,29.53125,2.896341463414637,-1.2733333333333334,-0.8466666666666667,-1.05,103652.66666666669,17225.545
2010,40988.0,19.8625,-30.79268292682926,0.5766666666666667,1.5033333333333332,0.4933333333333333,82114.0,13830.54
2011,65984.6,32.706250000000004,13.959059233449494,-0.9866666666666668,-1.4166666666666667,-1.163333333333333,140903.33333333334,21487.957
2012,61431.0,33.181250000000006,15.614111498257865,-1.34,-0.8666666666666667,0.2966666666666666,115748.0,18278.974
