model_label,model_name,endpoint_port,version,parse_success_rate,mse_240,mse_1440,avg_confidence,rows
qwen2.5-7b,Qwen2.5-7B,8000,verbose_zeroshot,1.0,0.00017898105558384537,0.00030181140775406204,0.95,5
qwen2.5-7b,Qwen2.5-7B,8000,compact_10,0.0,1.7962795645631174e+17,5183340965.853997,1.49,5
qwen2.5-7b,Qwen2.5-7B,8000,compact_5,0.0,2.0818945166063997e+17,6708697642.762749,1.49,5
qwen2.5-7b,Qwen2.5-7B,8000,compact_zeroshot,0.0,2.1238493019131267e+17,6866528503.851311,1.49,5
qwen2.5-7b,Qwen2.5-7B,8000,verbose_10,0.0,,,,5
qwen2.5-7b,Qwen2.5-7B,8000,verbose_5,0.0,,,,5
qwen2.5-7b-instruct,Qwen2.5-7B-Instruct,8001,verbose_10,1.0,7.797234483940618e-05,0.0005657248208207103,1.0,5
qwen2.5-7b-instruct,Qwen2.5-7B-Instruct,8001,compact_10,1.0,0.00023210125216162076,0.0017018046803317839,1.0,5
qwen2.5-7b-instruct,Qwen2.5-7B-Instruct,8001,compact_5,1.0,0.00026847230882832203,0.0019726871858873228,1.0,5
qwen2.5-7b-instruct,Qwen2.5-7B-Instruct,8001,verbose_zeroshot,1.0,0.00043031092675060724,0.007690392400031871,0.89,5
qwen2.5-7b-instruct,Qwen2.5-7B-Instruct,8001,verbose_5,1.0,0.00045325657556167354,0.0021601674748539636,1.0,5
qwen2.5-7b-instruct,Qwen2.5-7B-Instruct,8001,compact_zeroshot,1.0,0.032180403855494734,11.611213086465877,0.8200000000000001,5
qwen2.5-coder-7b-instruct,Qwen2.5-Coder-7B-Instruct,8002,compact_10,1.0,0.00021971491549495781,0.0006746471969984629,1.0,5
qwen2.5-coder-7b-instruct,Qwen2.5-Coder-7B-Instruct,8002,verbose_10,1.0,0.0003376341826504734,0.0006161917163318466,1.0,5
qwen2.5-coder-7b-instruct,Qwen2.5-Coder-7B-Instruct,8002,compact_5,1.0,0.0005145875110506279,0.0020850286692207388,1.0,5
qwen2.5-coder-7b-instruct,Qwen2.5-Coder-7B-Instruct,8002,verbose_5,1.0,0.0006173167940171083,0.0025041213103982993,1.0,5
qwen2.5-coder-7b-instruct,Qwen2.5-Coder-7B-Instruct,8002,compact_zeroshot,1.0,11.969301364532148,1.6034420156603264,0.85,5
qwen2.5-coder-7b-instruct,Qwen2.5-Coder-7B-Instruct,8002,verbose_zeroshot,1.0,15.994011431976592,8.138162743515885,0.72,5
